Completed Date,Product name,Description,Interest rate (p.a.),Money out,Money in,Balance
"21 Aug 2023","","Saldo z przeniesienia","","","","€0"
"23 Aug 2023","Instant Access - Aion Bank","Wpłata","","","+€2,000","€2,000"
"24 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/24","1.11%","","+€0.05","€2,000.05"
"25 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/25","1.11%","","+€0.07","€2,000.12"
"26 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/26","1.11%","","+€0.06","€2,000.18"
"27 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/27","1.11%","","+€0.06","€2,000.24"
"28 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/28","1.11%","","+€0.06","€2,000.30"
"29 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/29","1.11%","","+€0.06","€2,000.36"
"30 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/30","1.11%","","+€0.06","€2,000.42"
"31 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/31","1.11%","","+€0.06","€2,000.48"
"1 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/01","1.11%","","+€0.06","€2,000.54"
"2 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/02","1.11%","","+€0.06","€2,000.60"
"3 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/03","1.11%","","+€0.06","€2,000.66"
"4 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/04","1.11%","","+€0.06","€2,000.72"
"5 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/05","1.11%","","+€0.06","€2,000.78"
"6 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/06","1.11%","","+€0.06","€2,000.84"
