Completed Date,Product name,Description,Interest rate (p.a.),Money out,Money in,Balance
"30 Jun 2023","","Saldo z przeniesienia","","","","0 PLN"
"10 Jul 2023","Instant Access - Aion Bank","Wpłata","","","+20,000 PLN","20,000 PLN"
"10 Jul 2023","Instant Access - Aion Bank","Wypłata","","-20,000 PLN","","0 PLN"
"28 Aug 2023","Instant Access - Aion Bank","Wpłata","","","+4,000 PLN","4,000 PLN"
"29 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/29","4.05%","","+0.44 PLN","4,000.44 PLN"
"30 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/30","4.05%","","+0.45 PLN","4,000.89 PLN"
"31 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/31","4.05%","","+0.44 PLN","4,001.33 PLN"
"1 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/01","4.05%","","+0.45 PLN","4,001.78 PLN"
"2 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/02","4.05%","","+0.44 PLN","4,002.22 PLN"
"3 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/03","4.05%","","+0.44 PLN","4,002.66 PLN"
"4 Sep 2023","Instant Access - Aion Bank","Wpłata","","","+3,000 PLN","7,002.66 PLN"
"4 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/04","4.05%","","+0.45 PLN","7,003.11 PLN"
"5 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/05","4.05%","","+0.77 PLN","7,003.88 PLN"
"6 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/06","4.05%","","+0.78 PLN","7,004.66 PLN"
"7 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/07","4.05%","","+0.78 PLN","7,005.44 PLN"
"8 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/08","4.05%","","+0.78 PLN","7,006.22 PLN"
