Summary for Savings Accounts - EUR						
Description	Amount					
Saldo początkowe	0€					
Suma wpłat	697,92€					
Suma wypłat	613,84€					
Łączna kwota zarobionych odsetek	1,66€					
Podatek ogółem	0€					
Opłaty ogółem	0€					
Saldo końcowe	85,74€					
						
Summary for Savings Accounts - PLN						
Description	Amount					
Saldo początkowe	0 PLN					
Suma wpłat	1 300,00 PLN					
Suma wypłat	1 310,09 PLN					
Łączna kwota zarobionych odsetek	10,09 PLN					
Podatek ogółem	0 PLN					
Opłaty ogółem	0 PLN					
Saldo końcowe	0 PLN					
						
Summary for Crypto						
Sells summary	Amount					
Wpływy brutto	7,95$					
Podstawa kosztowa	0$					
Zrealizowany zysk/strata brutto	7,95$					
						
Transactions for Savings Accounts - EUR						
Date	Description	Money out	Money in	Balance		
19 Mar 2025	Depositing savings		337,37€	337,37€		
22 Mar 2025	Interest earned		0,01€	337,38€		
23 Mar 2025	Interest earned		0,01€	337,39€		
24 Mar 2025	Interest earned		0,01€	337,40€		
25 Mar 2025	Interest earned		0,01€	337,41€		
26 Mar 2025	Interest earned		0,01€	337,42€		
27 Mar 2025	Interest earned		0,01€	337,43€		
28 Mar 2025	Interest earned		0,01€	337,44€		
29 Mar 2025	Interest earned		0,01€	337,45€		
30 Mar 2025	Interest earned		0,01€	337,46€		
31 Mar 2025	Interest earned		0,01€	337,47€		
1 kwi 2025	Interest earned		0,01€	337,48€		
2 kwi 2025	Interest earned		0,01€	337,49€		
3 kwi 2025	Interest earned		0,01€	337,50€		
4 kwi 2025	Interest earned		0,01€	337,51€		
5 kwi 2025	Interest earned		0,01€	337,52€		
6 kwi 2025	Interest earned		0,01€	337,53€		
7 kwi 2025	Interest earned		0,01€	337,54€		
8 kwi 2025	Interest earned		0,01€	337,55€		
9 kwi 2025	Interest earned		0,01€	337,56€		
10 kwi 2025	Interest earned		0,01€	337,57€		
11 kwi 2025	Interest earned		0,01€	337,58€		
12 kwi 2025	Interest earned		0,01€	337,59€		
13 kwi 2025	Interest earned		0,01€	337,60€		
14 kwi 2025	Interest earned		0,01€	337,61€		
15 kwi 2025	Interest earned		0,01€	337,62€		
16 kwi 2025	Interest earned		0,01€	337,63€		
17 kwi 2025	Interest earned		0,01€	337,64€		
18 kwi 2025	Interest earned		0,01€	337,65€		
19 kwi 2025	Interest earned		0,01€	337,66€		
20 kwi 2025	Interest earned		0,02€	337,68€		
21 kwi 2025	Interest earned		0,01€	337,69€		
22 kwi 2025	Interest earned		0,01€	337,70€		
23 kwi 2025	Interest earned		0,01€	337,71€		
24 kwi 2025	Interest earned		0,01€	337,72€		
25 kwi 2025	Interest earned		0,01€	337,73€		
26 kwi 2025	Interest earned		0,01€	337,74€		
27 kwi 2025	Interest earned		0,01€	337,75€		
28 kwi 2025	Interest earned		0,01€	337,76€		
