"Investment Services Podsumowania",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Dane rachunku maklerskiego",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Wypłacone dywidendy",,,,,,,,,,,,,,
Dividends,"273,30 PLN","Tax withheld on dividend","39,26 PLN",,,,,,,,,,,
"Dochód netto z dywidendy","234,04 PLN",,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Przychód ze sprzedaży",,,,,,,,,,,,,,
"Wpływy brutto","0,00 PLN","Zatrzymany podatek od sprzedaży","0,00 PLN",,,,,,,,,,,
"Cost basis","0,00 PLN","Zatrzymany podatek od zakupu","0,00 PLN",,,,,,,,,,,
"Opłaty i prowizje","0,00 PLN","Netto PnL","0,00 PLN",,,,,,,,,,,
,,,,,,,,,,,,,,
"Dane rachunku maklerskiego",,,,,,,,,,,,,,
"Numer konta",12345678,"Data otwarcia","1 wrz 2020",,,,,,,,,,,
"Rodzaj własności",Holder,"Data zamknięcia",,,,,,,,,,,,
"Wykorzystanie konta",Personal,"Liczba dni posiadania (wybrano w okresie)",114,,,,,,,,,,,
"Rodzaj konta",Portfolio,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Średnie saldo I kw.","0,00 PLN","0,00$","Średnie saldo Q2","0,00 PLN","0,00$",,,,,,,,,
"Średnie saldo III kw.","270,44 PLN","62,17$","Średnie saldo IV kw.","16 138,30 PLN","4 061,66$",,,,,,,,,
"Średnie saldo H1","0,00 PLN","0,00$","Średnie saldo H2","8 161,01 PLN","2 050,99$",,,,,,,,,
"Saldo początkowe","0,00 PLN","0,00$","Saldo końcowe","46 435,15 PLN","11 799,27$",,,,,,,,,
"Maksymalne saldo","47 438,45 PLN","12 101,28$","Średnie saldo — cały rok","5 411,11 PLN","1 359,90$",,,,,,,,,
"Łączna kwota wpłat gotówkowych","47 608,01 PLN","11 786,00$","Łączna kwota wypłat gotówki","575,38 PLN","145,00$",,,,,,,,,
,,,,,,,,,,,,,,
"Financial institution information",,,,,,,,,,,,,,
"Nazwa instytucji finansowej","Revolut Securities Europe UAB","Numer rejestracyjny",305799582,,,,,,,,,,,
"Adres i kraj","Konstitucijos ave. 21B, LT-08130, Vilnius, Lithuania",,,,,,,,,,,,,
,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Investment Services Wyciągi transakcyjne",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Zestawienie transakcji (tylko wpływy z dywidendy)",,,,,,,,,,,,,,
Data,"Opis i symbol ",ISIN,Kraj,"Brutto dywidendy / dochodu","Brutto dywidendy / dochodu","Zatrzymane podatki","Zatrzymane podatki","Inne podatki","Inne podatki",Opłaty,Opłaty,"Dywidenda/dochód netto","Dywidenda/dochód netto",
"14 gru 2023","Amcor dividend",JE00BV7DQ550,JE,"2,94$","11,52 PLN","0,00$","0,00$","0,00$","0,00 PLN","0,00 PLN","0,00 PLN","2,94$","11,52 PLN",
"26 gru 2023","Pioneer Natural Resources dividend",US7237871071,US,"66,80$","261,78 PLN","10,02$","39,26 PLN","0,00$","0,00 PLN","0,00 PLN","0,00 PLN","56,78$","222,52 PLN",
,,,,,,,,,,,,,,
"Sprzedane jednostki",,,,,,,,,,,,,,
"Data (Sprzedaży)","Opis, symbol i kod ISIN",Kraj,"Wiek jednostek","Units sold","Cena jednostkowa (Data sprzedaży)","Wartość (Sprzedaży)","Zyski kapitałowe","Zatrzymane podatki","Inne podatki",Opłaty,,,,
,,,,,,,,,,,,,,
"Inne transakcje na rachunku maklerskim ",,,,,,,,,,,,,,
Data,"Opis i symbol ",ISIN,Ilość,Kraj,"Wartość brutto","Wartość brutto","Zatrzymane podatki","Zatrzymane podatki","Inne podatki","Inne podatki",Opłaty,Opłaty,"Wartość netto","Wartość netto"
"20 lis 2023",PXD,US7237871071,20.8750835,"United States","US$5,000","19,863.25 PLN","US$0","0 PLN","US$0","0 PLN","US$0","0 PLN","US$5,000","19,863.25 PLN"
"23 paź 2023",AMCR,JE00BV7DQ550,23.52941176,Jersey,"US$200","835.88 PLN","US$0","0 PLN","US$0","0 PLN","US$0","0 PLN","US$200","835.88 PLN"
"8 gru 2023",TFC,US89832Q1094,191.17647058,"United States","US$6,500","26,189.75 PLN","US$0","0 PLN","US$0","0 PLN","US$0","0 PLN","US$6,500","26,189.75 PLN"
,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
