Summary for Savings Accounts - EUR
Description,Amount
Saldo początkowe,"8 829,13€"
Suma wpłat,"13 056,24€"
Suma wypłat,"21 967,74€"
Łączna kwota zarobionych odsetek,"82,37€"
Podatek ogółem,0€
Opłaty ogółem,0€
Saldo końcowe,0€

Summary for Savings Accounts - PLN
Description,Amount
Saldo początkowe,"10 130,50 PLN"
Suma wpłat,"228 577,90 PLN"
Suma wypłat,"235 670,58 PLN"
Łączna kwota zarobionych odsetek,"723,05 PLN"
Podatek ogółem,0 PLN
Opłaty ogółem,0 PLN
Saldo końcowe,"3 760,87 PLN"

Transactions for Savings Accounts - EUR
Date,Description,Money out,Money in,Balance
1 sty 2024,Interest earned,,"0,26€","8 829,39€"
2 sty 2024,Interest earned,,"0,27€","8 829,66€"
3 sty 2024,Interest earned,,"0,26€","8 829,92€"
4 sty 2024,Interest earned,,"0,27€","8 830,19€"
5 sty 2024,Interest earned,,"0,26€","8 830,45€"
6 sty 2024,Interest earned,,"0,27€","8 830,72€"
7 sty 2024,Interest earned,,"0,26€","8 830,98€"
8 sty 2024,Interest earned,,"0,27€","8 831,25€"
9 sty 2024,Interest earned,,"0,27€","8 831,52€"
10 sty 2024,Interest earned,,"0,26€","8 831,78€"
11 sty 2024,Interest earned,,"0,27€","8 832,05€"
12 sty 2024,Interest earned,,"0,26€","8 832,31€"
13 sty 2024,Interest earned,,"0,27€","8 832,58€"
14 sty 2024,Interest earned,,"0,26€","8 832,84€"
15 sty 2024,Interest earned,,"0,27€","8 833,11€"
16 sty 2024,Interest earned,,"0,26€","8 833,37€"
17 sty 2024,Interest earned,,"0,27€","8 833,64€"
18 sty 2024,Interest earned,,"0,26€","8 833,90€"
19 sty 2024,Interest earned,,"0,27€","8 834,17€"
20 sty 2024,Interest earned,,"0,27€","8 834,44€"
21 sty 2024,Interest earned,,"0,26€","8 834,70€"
22 sty 2024,Interest earned,,"0,27€","8 834,97€"
22 sty 2024,Withdrawing savings,190€,,"8 644,97€"
23 sty 2024,Interest earned,,"0,26€","8 645,23€"
24 sty 2024,Interest earned,,"0,26€","8 645,49€"
25 sty 2024,Interest earned,,"0,26€","8 645,75€"
26 sty 2024,Interest earned,,"0,26€","8 646,01€"
27 sty 2024,Interest earned,,"0,26€","8 646,27€"
27 sty 2024,Withdrawing savings,300€,,"8 346,27€"
28 sty 2024,Interest earned,,"0,26€","8 346,53€"
29 sty 2024,Interest earned,,"0,26€","8 346,79€"
30 sty 2024,Interest earned,,"0,25€","8 347,04€"
31 sty 2024,Interest earned,,"0,25€","8 347,29€"
1 lut 2024,Interest earned,,"0,25€","8 347,54€"
2 lut 2024,Interest earned,,"0,25€","8 347,79€"
3 lut 2024,Interest earned,,"0,26€","8 348,05€"
4 lut 2024,Interest earned,,"0,25€","8 348,30€"
5 lut 2024,Interest earned,,"0,25€","8 348,55€"
6 lut 2024,Interest earned,,"0,25€","8 348,80€"
7 lut 2024,Interest earned,,"0,25€","8 349,05€"
8 lut 2024,Interest earned,,"0,25€","8 349,30€"
9 lut 2024,Interest earned,,"0,25€","8 349,55€"
10 lut 2024,Interest earned,,"0,25€","8 349,80€"
11 lut 2024,Interest earned,,"0,25€","8 350,05€"
12 lut 2024,Interest earned,,"0,25€","8 350,30€"
13 lut 2024,Interest earned,,"0,25€","8 350,55€"
14 lut 2024,Interest earned,,"0,26€","8 350,81€"
15 lut 2024,Interest earned,,"0,25€","8 351,06€"
16 lut 2024,Interest earned,,"0,25€","8 351,31€"
16 lut 2024,Depositing savings,,150€,"8 501,31€"
17 lut 2024,Interest earned,,"0,25€","8 501,56€"
17 lut 2024,Withdrawing savings,1 900€,,"6 601,56€"
18 lut 2024,Interest earned,,"0,26€","6 601,82€"
19 lut 2024,Interest earned,,"0,25€","6 602,07€"
20 lut 2024,Interest earned,,"0,20€","6 602,27€"
21 lut 2024,Interest earned,,"0,20€","6 602,47€"
22 lut 2024,Interest earned,,"0,20€","6 602,67€"
23 lut 2024,Interest earned,,"0,20€","6 602,87€"
24 lut 2024,Interest earned,,"0,20€","6 603,07€"
25 lut 2024,Interest earned,,"0,19€","6 603,26€"
26 lut 2024,Interest earned,,"0,20€","6 603,46€"
27 lut 2024,Interest earned,,"0,20€","6 603,66€"
28 lut 2024,Interest earned,,"0,20€","6 603,86€"
29 lut 2024,Interest earned,,"0,20€","6 604,06€"
1 mar 2024,Interest earned,,"0,20€","6 604,26€"
1 mar 2024,Withdrawing savings,40€,,"6 564,26€"
2 mar 2024,Interest earned,,"0,20€","6 564,46€"
3 mar 2024,Interest earned,,"0,19€","6 564,65€"
4 mar 2024,Interest earned,,"0,20€","6 564,85€"
5 mar 2024,Interest earned,,"0,20€","6 565,05€"
5 mar 2024,Withdrawing savings,20€,,"6 545,05€"
6 mar 2024,Interest earned,,"0,20€","6 545,25€"
7 mar 2024,Interest earned,,"0,19€","6 545,44€"
8 mar 2024,Interest earned,,"0,20€","6 545,64€"
9 mar 2024,Interest earned,,"0,20€","6 545,84€"
10 mar 2024,Interest earned,,"0,19€","6 546,03€"
11 mar 2024,Interest earned,,"0,20€","6 546,23€"
12 mar 2024,Interest earned,,"0,20€","6 546,43€"
13 mar 2024,Interest earned,,"0,19€","6 546,62€"
14 mar 2024,Interest earned,,"0,20€","6 546,82€"
15 mar 2024,Interest earned,,"0,20€","6 547,02€"
16 mar 2024,Interest earned,,"0,19€","6 547,21€"
17 mar 2024,Interest earned,,"0,20€","6 547,41€"
18 mar 2024,Interest earned,,"0,20€","6 547,61€"
19 mar 2024,Interest earned,,"0,19€","6 547,80€"
20 mar 2024,Interest earned,,"0,20€",6 548€
21 mar 2024,Interest earned,,"0,20€","6 548,20€"
22 mar 2024,Interest earned,,"0,20€","6 548,40€"
23 mar 2024,Interest earned,,"0,19€","6 548,59€"
24 mar 2024,Interest earned,,"0,20€","6 548,79€"
25 mar 2024,Interest earned,,"0,20€","6 548,99€"
26 mar 2024,Interest earned,,"0,19€","6 549,18€"
27 mar 2024,Interest earned,,"0,20€","6 549,38€"
28 mar 2024,Interest earned,,"0,20€","6 549,58€"
29 mar 2024,Interest earned,,"0,19€","6 549,77€"
30 mar 2024,Interest earned,,"0,20€","6 549,97€"
31 mar 2024,Interest earned,,"0,20€","6 550,17€"
1 kwi 2024,Interest earned,,"0,19€","6 550,36€"
2 kwi 2024,Interest earned,,"0,20€","6 550,56€"
3 kwi 2024,Interest earned,,"0,20€","6 550,76€"
4 kwi 2024,Interest earned,,"0,19€","6 550,95€"
5 kwi 2024,Interest earned,,"0,20€","6 551,15€"
6 kwi 2024,Interest earned,,"0,20€","6 551,35€"
7 kwi 2024,Interest earned,,"0,19€","6 551,54€"
