Completed Date,Product name,Description,Interest rate (p.a.),Money out,Money in,Balance
"1 Jan 2023","","Money brought forward","","","","0 PLN"
"11 Dec 2023","Instant Access - Aion Bank","Deposit","","","+2,500 PLN","2,500 PLN"
"11 Dec 2023","Instant Access - Aion Bank","Deposit","","","+10 PLN","2,510 PLN"
"11 Dec 2023","Instant Access - Aion Bank","Deposit","","","+10 PLN","2,520 PLN"
"12 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/12","3.05%","","+0.21 PLN","2,520.21 PLN"
"13 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/13","3.05%","","+0.20 PLN","2,520.41 PLN"
"14 Dec 2023","Instant Access - Aion Bank","Deposit","","","+10 PLN","2,530.41 PLN"
"15 Dec 2023","Instant Access - Aion Bank","Deposit","","","+8.22 PLN","2,538.63 PLN"
"15 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/15","3.05%","","+0.21 PLN","2,538.84 PLN"
"16 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/16","3.05%","","+0.21 PLN","2,539.05 PLN"
"17 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/17","3.05%","","+0.21 PLN","2,539.26 PLN"
"18 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/18","3.05%","","+0.21 PLN","2,539.47 PLN"
"19 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/19","3.05%","","+0.41 PLN","2,539.88 PLN"
"20 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/20","3.05%","","+0.21 PLN","2,540.09 PLN"
"21 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/21","3.05%","","+0.21 PLN","2,540.30 PLN"
"21 Dec 2023","Instant Access - Aion Bank","Deposit","","","+10 PLN","2,550.30 PLN"
"22 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/22","3.05%","","+0.21 PLN","2,550.51 PLN"
"23 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/23","3.05%","","+0.21 PLN","2,550.72 PLN"
"24 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/24","3.05%","","+0.21 PLN","2,550.93 PLN"
"25 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/25","3.05%","","+0.21 PLN","2,551.14 PLN"
"26 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/26","3.05%","","+0.21 PLN","2,551.35 PLN"
"27 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/27","3.05%","","+0.21 PLN","2,551.56 PLN"
"28 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/28","3.05%","","+0.21 PLN","2,551.77 PLN"
"28 Dec 2023","Instant Access - Aion Bank","Deposit","","","+10 PLN","2,561.77 PLN"
"29 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/29","3.05%","","+0.21 PLN","2,561.98 PLN"
"30 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/30","3.05%","","+0.21 PLN","2,562.19 PLN"
"31 Dec 2023","Instant Access - Aion Bank","Gross interest
Earned on 2023/12/31","3.05%","","+0.21 PLN","2,562.40 PLN"
"31 Dec 2023","","Money carried forward","","","","2,562.40 PLN"
