Income from Sells
Date acquired,Date sold,Symbol,Security name,ISIN,Country,Quantity,Cost basis,Gross proceeds,Gross PnL,Currency
2023-11-20,2024-08-12,XOM,Exxon Mobil,US30231G1022,US,48.501169,5000.00,5804.62,804.62,USD

Other income & fees
Date,Symbol,Security name,ISIN,Country,Gross amount,Withholding tax,Net Amount,Currency
2023-12-14,AMCR,Amcor,JE00BJ1F3079,JE,11.52,$0,11.52 PLN,PLN
2023-12-26,PXD,Pioneer Natural Resources,US7237871071,US,261.78,39.26 PLN,222.52 PLN,PLN
2024-03-04,TFC,Truist Financial Corp,US89832Q1094,US,617.00,92.57 PLN,524.43 PLN,PLN
2024-03-21,AMCR,Amcor,JE00BJ1F3079,JE,259.17,$0,259.17 PLN,PLN
2024-03-25,PXD,Pioneer Natural Resources,US7237871071,US,212.39,31.87 PLN,180.52 PLN,PLN
2024-05-16,EPR,EPR Properties,US26884U1097,US,700.17,105.04 PLN,595.13 PLN,PLN
2024-05-31,UPS,UPS,US9113121068,US,875.82,131.38 PLN,744.44 PLN,PLN
2024-06-03,ABR,Arbor Realty Trust,US0389231087,US,488.26,73.25 PLN,415.01 PLN,PLN
2024-06-04,TFC,Truist Financial Corp,US89832Q1094,US,613.20,92 PLN,521.20 PLN,PLN
2024-06-11,XOM,Exxon Mobil,US30231G1022,US,186.16,27.92 PLN,158.24 PLN,PLN
2024-06-13,AMCR,Amcor,JE00BJ1F3079,JE,264.74,$0,264.74 PLN,PLN
2024-06-18,EPR,EPR Properties,US26884U1097,US,858.33,128.74 PLN,729.59 PLN,PLN
2024-07-12,BBY,Best Buy,US0865161014,US,421.50,63.23 PLN,358.27 PLN,PLN
2024-07-16,EPR,EPR Properties,US26884U1097,US,834.55,125.18 PLN,709.37 PLN,PLN
2024-08-16,EPR,EPR Properties,US26884U1097,US,834.79,125.23 PLN,709.56 PLN,PLN
2024-08-26,DE000A289XJ2,Mercedes-Benz International Finance BV 2% 08/26,DE000A289XJ2,DE,302.43,79.77 PLN,222.66 PLN,PLN
2024-08-29,BMO,Bank of Montreal,CA0636711016,CA,801.25,$0,801.25 PLN,PLN
2024-08-30,CAG,ConAgra Foods,US2058871029,US,872.56,130.90 PLN,741.66 PLN,PLN
